repository,commit_sha,author,timestamp,message,filename,additions,deletions,changes,patch
vercel/next.js,2cc84abc6254c4dec1c51ac7945300a03e9e51be,nextjs-bot,2025-10-07 17:20:21,v15.6.0-canary.51,lerna.json,1,1,2,"""registry"": ""https://registry.npmjs.org/"" } } - ""version"": ""15.6.0-canary.50"" + ""version"": ""15.6.0-canary.51"" }"
vercel/next.js,2cc84abc6254c4dec1c51ac7945300a03e9e51be,nextjs-bot,2025-10-07 17:20:21,v15.6.0-canary.51,packages/create-next-app/package.json,1,1,2,"{ ""name"": ""create-next-app"" - ""version"": ""15.6.0-canary.50"" + ""version"": ""15.6.0-canary.51"" ""keywords"": [ ""react"" ""next"""
vercel/next.js,2cc84abc6254c4dec1c51ac7945300a03e9e51be,nextjs-bot,2025-10-07 17:20:21,v15.6.0-canary.51,packages/eslint-config-next/package.json,2,2,4,"{ ""name"": ""eslint-config-next"" - ""version"": ""15.6.0-canary.50"" + ""version"": ""15.6.0-canary.51"" ""description"": ""ESLint configuration used by Next.js."" ""main"": ""index.js"" ""license"": ""MIT"" } ""homepage"": ""https://nextjs.org/docs/app/api-reference/config/eslint"" ""dependencies"": { - ""@next/eslint-plugin-next"": ""15.6.0-canary.50"" + ""@next/eslint-plugin-next"": ""15.6.0-canary.51"" ""@rushstack/eslint-patch"": ""^1.10.3"" ""@typescript-eslint/eslint-plugin"": ""^5.4.2 || ^6.0.0 || ^7.0.0 || ^8.0.0"" ""@typescript-eslint/parser"": ""^5.4.2 || ^6.0.0 || ^7.0.0 || ^8.0.0"""
vercel/next.js,2cc84abc6254c4dec1c51ac7945300a03e9e51be,nextjs-bot,2025-10-07 17:20:21,v15.6.0-canary.51,packages/eslint-plugin-internal/package.json,1,1,2,"{ ""name"": ""@next/eslint-plugin-internal"" ""private"": true - ""version"": ""15.6.0-canary.50"" + ""version"": ""15.6.0-canary.51"" ""description"": ""ESLint plugin for working on Next.js."" ""exports"": { ""."": ""./src/eslint-plugin-internal.js"""
vercel/next.js,2cc84abc6254c4dec1c51ac7945300a03e9e51be,nextjs-bot,2025-10-07 17:20:21,v15.6.0-canary.51,packages/eslint-plugin-next/package.json,1,1,2,"{ ""name"": ""@next/eslint-plugin-next"" - ""version"": ""15.6.0-canary.50"" + ""version"": ""15.6.0-canary.51"" ""description"": ""ESLint plugin for Next.js."" ""main"": ""dist/index.js"" ""types"": ""dist/index.d.ts"""
vercel/next.js,2cc84abc6254c4dec1c51ac7945300a03e9e51be,nextjs-bot,2025-10-07 17:20:21,v15.6.0-canary.51,packages/font/package.json,1,1,2,"{ ""name"": ""@next/font"" ""private"": true - ""version"": ""15.6.0-canary.50"" + ""version"": ""15.6.0-canary.51"" ""repository"": { ""url"": ""vercel/next.js"" ""directory"": ""packages/font"""
vercel/next.js,2cc84abc6254c4dec1c51ac7945300a03e9e51be,nextjs-bot,2025-10-07 17:20:21,v15.6.0-canary.51,packages/next-bundle-analyzer/package.json,1,1,2,"{ ""name"": ""@next/bundle-analyzer"" - ""version"": ""15.6.0-canary.50"" + ""version"": ""15.6.0-canary.51"" ""main"": ""index.js"" ""types"": ""index.d.ts"" ""license"": ""MIT"""
vercel/next.js,2cc84abc6254c4dec1c51ac7945300a03e9e51be,nextjs-bot,2025-10-07 17:20:21,v15.6.0-canary.51,packages/next-codemod/package.json,1,1,2,"{ ""name"": ""@next/codemod"" - ""version"": ""15.6.0-canary.50"" + ""version"": ""15.6.0-canary.51"" ""license"": ""MIT"" ""repository"": { ""type"": ""git"""
vercel/next.js,2cc84abc6254c4dec1c51ac7945300a03e9e51be,nextjs-bot,2025-10-07 17:20:21,v15.6.0-canary.51,packages/next-env/package.json,1,1,2,"{ ""name"": ""@next/env"" - ""version"": ""15.6.0-canary.50"" + ""version"": ""15.6.0-canary.51"" ""keywords"": [ ""react"" ""next"""
vercel/next.js,2cc84abc6254c4dec1c51ac7945300a03e9e51be,nextjs-bot,2025-10-07 17:20:21,v15.6.0-canary.51,packages/next-mdx/package.json,1,1,2,"{ ""name"": ""@next/mdx"" - ""version"": ""15.6.0-canary.50"" + ""version"": ""15.6.0-canary.51"" ""main"": ""index.js"" ""license"": ""MIT"" ""repository"": {"
vercel/next.js,2cc84abc6254c4dec1c51ac7945300a03e9e51be,nextjs-bot,2025-10-07 17:20:21,v15.6.0-canary.51,packages/next-plugin-storybook/package.json,1,1,2,"{ ""name"": ""@next/plugin-storybook"" - ""version"": ""15.6.0-canary.50"" + ""version"": ""15.6.0-canary.51"" ""repository"": { ""url"": ""vercel/next.js"" ""directory"": ""packages/next-plugin-storybook"""
vercel/next.js,2cc84abc6254c4dec1c51ac7945300a03e9e51be,nextjs-bot,2025-10-07 17:20:21,v15.6.0-canary.51,packages/next-polyfill-module/package.json,1,1,2,"{ ""name"": ""@next/polyfill-module"" - ""version"": ""15.6.0-canary.50"" + ""version"": ""15.6.0-canary.51"" ""description"": ""A standard library polyfill for ES Modules supporting browsers (Edge 16+ Firefox 60+ Chrome 61+ Safari 10.1+)"" ""main"": ""dist/polyfill-module.js"" ""license"": ""MIT"""
