repository,commit_sha,author,timestamp,message,filename,additions,deletions,changes,patch
vercel/next.js,f69066fb20b29e591b40ff20e41181391bda1477,nextjs-bot,2025-10-07T16:08:28Z,v15.6.0-canary.50,lerna.json,1,1,2,"@@ -16,5 +16,5 @@
       ""registry"": ""https://registry.npmjs.org/""
     }
   },
-  ""version"": ""15.6.0-canary.49""
+  ""version"": ""15.6.0-canary.50""
 }"
vercel/next.js,f69066fb20b29e591b40ff20e41181391bda1477,nextjs-bot,2025-10-07T16:08:28Z,v15.6.0-canary.50,packages/create-next-app/package.json,1,1,2,"@@ -1,6 +1,6 @@
 {
   ""name"": ""create-next-app"",
-  ""version"": ""15.6.0-canary.49"",
+  ""version"": ""15.6.0-canary.50"",
   ""keywords"": [
     ""react"",
     ""next"","
vercel/next.js,f69066fb20b29e591b40ff20e41181391bda1477,nextjs-bot,2025-10-07T16:08:28Z,v15.6.0-canary.50,packages/eslint-config-next/package.json,2,2,4,"@@ -1,6 +1,6 @@
 {
   ""name"": ""eslint-config-next"",
-  ""version"": ""15.6.0-canary.49"",
+  ""version"": ""15.6.0-canary.50"",
   ""description"": ""ESLint configuration used by Next.js."",
   ""main"": ""index.js"",
   ""license"": ""MIT"",
@@ -10,7 +10,7 @@
   },
   ""homepage"": ""https://nextjs.org/docs/app/api-reference/config/eslint"",
   ""dependencies"": {
-    ""@next/eslint-plugin-next"": ""15.6.0-canary.49"",
+    ""@next/eslint-plugin-next"": ""15.6.0-canary.50"",
     ""@rushstack/eslint-patch"": ""^1.10.3"",
     ""@typescript-eslint/eslint-plugin"": ""^5.4.2 || ^6.0.0 || ^7.0.0 || ^8.0.0"",
     ""@typescript-eslint/parser"": ""^5.4.2 || ^6.0.0 || ^7.0.0 || ^8.0.0"","
vercel/next.js,f69066fb20b29e591b40ff20e41181391bda1477,nextjs-bot,2025-10-07T16:08:28Z,v15.6.0-canary.50,packages/eslint-plugin-internal/package.json,1,1,2,"@@ -1,7 +1,7 @@
 {
   ""name"": ""@next/eslint-plugin-internal"",
   ""private"": true,
-  ""version"": ""15.6.0-canary.49"",
+  ""version"": ""15.6.0-canary.50"",
   ""description"": ""ESLint plugin for working on Next.js."",
   ""exports"": {
     ""."": ""./src/eslint-plugin-internal.js"""
vercel/next.js,f69066fb20b29e591b40ff20e41181391bda1477,nextjs-bot,2025-10-07T16:08:28Z,v15.6.0-canary.50,packages/eslint-plugin-next/package.json,1,1,2,"@@ -1,6 +1,6 @@
 {
   ""name"": ""@next/eslint-plugin-next"",
-  ""version"": ""15.6.0-canary.49"",
+  ""version"": ""15.6.0-canary.50"",
   ""description"": ""ESLint plugin for Next.js."",
   ""main"": ""dist/index.js"",
   ""types"": ""dist/index.d.ts"","
vercel/next.js,f69066fb20b29e591b40ff20e41181391bda1477,nextjs-bot,2025-10-07T16:08:28Z,v15.6.0-canary.50,packages/font/package.json,1,1,2,"@@ -1,7 +1,7 @@
 {
   ""name"": ""@next/font"",
   ""private"": true,
-  ""version"": ""15.6.0-canary.49"",
+  ""version"": ""15.6.0-canary.50"",
   ""repository"": {
     ""url"": ""vercel/next.js"",
     ""directory"": ""packages/font"""
vercel/next.js,f69066fb20b29e591b40ff20e41181391bda1477,nextjs-bot,2025-10-07T16:08:28Z,v15.6.0-canary.50,packages/next-bundle-analyzer/package.json,1,1,2,"@@ -1,6 +1,6 @@
 {
   ""name"": ""@next/bundle-analyzer"",
-  ""version"": ""15.6.0-canary.49"",
+  ""version"": ""15.6.0-canary.50"",
   ""main"": ""index.js"",
   ""types"": ""index.d.ts"",
   ""license"": ""MIT"","
vercel/next.js,f69066fb20b29e591b40ff20e41181391bda1477,nextjs-bot,2025-10-07T16:08:28Z,v15.6.0-canary.50,packages/next-codemod/package.json,1,1,2,"@@ -1,6 +1,6 @@
 {
   ""name"": ""@next/codemod"",
-  ""version"": ""15.6.0-canary.49"",
+  ""version"": ""15.6.0-canary.50"",
   ""license"": ""MIT"",
   ""repository"": {
     ""type"": ""git"","
vercel/next.js,f69066fb20b29e591b40ff20e41181391bda1477,nextjs-bot,2025-10-07T16:08:28Z,v15.6.0-canary.50,packages/next-env/package.json,1,1,2,"@@ -1,6 +1,6 @@
 {
   ""name"": ""@next/env"",
-  ""version"": ""15.6.0-canary.49"",
+  ""version"": ""15.6.0-canary.50"",
   ""keywords"": [
     ""react"",
     ""next"","
vercel/next.js,f69066fb20b29e591b40ff20e41181391bda1477,nextjs-bot,2025-10-07T16:08:28Z,v15.6.0-canary.50,packages/next-mdx/package.json,1,1,2,"@@ -1,6 +1,6 @@
 {
   ""name"": ""@next/mdx"",
-  ""version"": ""15.6.0-canary.49"",
+  ""version"": ""15.6.0-canary.50"",
   ""main"": ""index.js"",
   ""license"": ""MIT"",
   ""repository"": {"
vercel/next.js,f69066fb20b29e591b40ff20e41181391bda1477,nextjs-bot,2025-10-07T16:08:28Z,v15.6.0-canary.50,packages/next-plugin-storybook/package.json,1,1,2,"@@ -1,6 +1,6 @@
 {
   ""name"": ""@next/plugin-storybook"",
-  ""version"": ""15.6.0-canary.49"",
+  ""version"": ""15.6.0-canary.50"",
   ""repository"": {
     ""url"": ""vercel/next.js"",
     ""directory"": ""packages/next-plugin-storybook"""
